"";"AIC";"BIC";"time";"rho";"knn";"obsSample";"minInterval";"moran"
"1478";271,251976340455;307,533467372484;0,607072830200195;-0,999999962994174;93;200;2801;0,0147145499500338
"1479";273,386976108983;309,668467141012;0,599696159362793;-0,999999962994174;94;200;2801;0,0129910596167234
"1480";270,892140239591;307,17363127162;0,600302934646606;-0,999999962994174;95;200;2801;0,0112891201977115
"1481";272,468470391702;308,749961423731;0,600794076919556;-0,999999962994174;96;200;2801;0,00910355473873454
"1482";257,422508664687;293,703999696715;0,599801063537598;-0,999999962994174;97;200;2801;0,00681893989631955
"1483";258,340835946983;294,622326979011;0,599045038223267;-0,999999962994174;98;200;2801;0,00552586148778175
"1484";262,222790273432;298,50428130546;0,604603052139282;-0,999999962994174;99;200;2801;0,00385202108394677
"1485";260,423569255328;296,705060287356;0,608319997787476;-0,999999962994174;100;200;2801;0,00327578570062334
"1486";6,71061669121818;42,9921077232466;0,280333995819092;0,810190306677814;2;200;3001;0,472562533740784
"1487";-11,6524682025929;24,6290228294355;0,256762027740479;0,842700861463152;3;200;3001;0,408824869180021
"1488";-53,9844897962827;-17,7029987642543;0,255145072937012;0,881630979495139;4;200;3001;0,398556000676453
"1489";-35,0828784869196;1,19861254510882;0,259926080703735;0,888386576298124;5;200;3001;0,377125859417906
"1490";-47,1902282248385;-10,9087371928101;0,259346961975098;0,898750648030653;6;200;3001;0,347757850589774
"1491";-23,6899187805255;12,5915722515029;0,259965896606445;0,888575309047132;7;200;3001;0,351397103905615
"1492";-13,6018683596079;22,6796226724205;0,260271787643433;0,865167336019232;8;200;3001;0,341682015981565
"1493";3,7613784872992;40,0428695193276;0,264984846115112;0,858560847498313;9;200;3001;0,341445181496917
"1494";14,100688074012;50,3821791060404;0,267305850982666;0,851632477563268;10;200;3001;0,339583990712486
"1495";25,4326741122751;61,7141651443035;0,264465093612671;0,840080103031999;11;200;3001;0,334245803258577
"1496";34,7196586298529;71,0011496618813;0,265644788742065;0,824013438084385;12;200;3001;0,335565216911431
"1497";39,3527259958964;75,6342170279248;0,262803792953491;0,817885639967818;13;200;3001;0,332369144405758
"1498";56,9505050929858;93,2319961250142;0,271542072296143;0,812099400605397;14;200;3001;0,331855988538499
"1499";63,3604316901467;99,6419227221751;0,272001028060913;0,794975189899071;15;200;3001;0,326492718629141
"1500";71,5822035938721;107,8636946259;0,295180082321167;0,795796446350201;16;200;3001;0,318873934368535
"1501";77,4027189328726;113,684209964901;0,271183967590332;0,792196684019145;17;200;3001;0,31438260401765
"1502";78,6768777632982;114,958368795327;0,272202968597412;0,766864860849813;18;200;3001;0,31286040669758
